FIGHTER1,FIGHTER2,WINNER,RATING1_BEFORE,RATING2_BEFORE,RATING1_AFTER,RATING2_AFTER,EVENT,DATE,TIME_FORMAT,ROUND,TIMESTAMP,FIGHTER1_OUTCOME,FIGHTER2_OUTCOME,TOTAL_TIME_MINUTES,TOTAL_TIME_SECONDS
Luana Pinheiro,Gillian Robertson,Gillian Robertson,1489.4729821169328,1610.5525283623188,1459.5497871338118,1640.4757233454397,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Mansur Abdul-Malik,Dusko Todorovic,Mansur Abdul-Malik,1500.0,1445.6731158165837,1538.0203515142443,1407.6527643023394,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),1,2:44,1,0,2.7333333333333334,164.0
Gerald Meerschaert,Reinier de Ridder,Reinier de Ridder,1621.6733500432586,1500.0,1568.2110901950668,1553.4622598481917,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),3,1:44,0,1,11.733333333333333,704.0
Elizeu Zaleski dos Santos,Zachary Scroggin,Elizeu Zaleski dos Santos,1691.436592865082,1500.0,1713.879513888281,1477.557078976801,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),1,1:15,1,0,1.25,75.0
Matthew Semelsberger,Charles Radtke,Charles Radtke,1507.7747498311548,1527.8765347643587,1465.3754399974212,1570.2758445980924,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),1,0:51,0,1,0.85,51.0
Cody Stamann,Da'Mon Blackshear,Da'Mon Blackshear,1501.6096434830329,1500.3617929882487,1461.4659800033878,1540.5054564678937,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),1,4:19,0,1,4.316666666666666,259.0
Melissa Mullins,Klaudia Sygula,Melissa Mullins,1461.287098890678,1500.0,1511.2805614769486,1450.0065374137293,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),2,1:20,1,0,6.333333333333333,380.0
Karolina Kowalkiewicz,Denise Gomes,Denise Gomes,1540.6605739806796,1532.2919899549,1494.5768811014555,1578.375682834124,UFC Fight Night: Magny vs. Prates,2024-11-09,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Marc-Andre Barriault,Dustin Stoltzfus,Dustin Stoltzfus,1516.672802939643,1430.5937223645672,1460.7464586325873,1486.5200666716228,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),1,4:28,0,1,4.466666666666667,268.0
Charles Jourdain,Victor Henry,Charles Jourdain,1521.7921593594704,1594.3829317483408,1570.0299599992911,1546.14513110852,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),2,3:43,1,0,8.716666666666667,523.0
